I
1130 Generated by WorldEditor 2.4.0r2

1    819 0 0 KHFY Indy South Greenwood
1302 city Indianapolis
1302 country United States
1302 datum_lat 39.627611111
1302 datum_lon -86.088027778
1302 faa_code HFY
1302 gui_label 3D
1302 iata_code 
1302 icao_code KHFY
1302 region_code K5
1302 state Indiana
1302 transition_alt 18000
1302 transition_level 18000
100 22.86 1 0 0.25 0 2 0   1  39.62068479 -086.08923171 31 0 2 0 0 2 19  39.63455657 -086.08682860 31 0 2 0 0 2
110 1 0.25 0.0 T's Taxiway Network
111  39.63220990 -086.09027455
112  39.63220990 -086.09027455  39.63219804 -086.09028059
111  39.63219755 -086.09030304
111  39.63219435 -086.09075064
111  39.63217270 -086.09075130
111  39.63214356 -086.09075129
111  39.63206465 -086.09075268
111  39.63205582 -086.09073636
111  39.63177777 -086.09073619
111  39.63174317 -086.09073570
111  39.63147904 -086.09073092
111  39.63144145 -086.09073091
111  39.63135300 -086.09072842
111  39.63135308 -086.09008586
111  39.63135306 -086.09001253
111  39.63135252 -086.08855355
111  39.63135250 -086.08850041
111  39.63140097 -086.08849932
111  39.63144823 -086.08849827
112  39.63146277 -086.08855367  39.63147510 -086.08857762
111  39.63146277 -086.08855367
112  39.63150088 -086.08861371  39.63151634 -086.08862916
111  39.63150088 -086.08861371
112  39.63150088 -086.08861371  39.63153448 -086.08864728
111  39.63159002 -086.08865057
111  39.63227106 -086.08863892
112  39.63240376 -086.08852865  39.63246934 -086.08841469
111  39.63250655 -086.08841299
111  39.63353333 -086.08839110
111  39.63372316 -086.08838359
111  39.63388929 -086.08837701
111  39.63444004 -086.08837034
112  39.63444004 -086.08837034  39.63446578 -086.08836735
111  39.63448035 -086.08833060
111  39.63448116 -086.08855703
112  39.63448116 -086.08855703  39.63446141 -086.08855634
111  39.63446138 -086.08856975
111  39.63446136 -086.08869948
112  39.63446136 -086.08869948  39.63446241 -086.08875286
111  39.63447987 -086.08874678
111  39.63459382 -086.08874418
111  39.63459485 -086.08888514
111  39.63471553 -086.08888231
112  39.63471553 -086.08888231  39.63471267 -086.08890872
112  39.63469621 -086.08895257  39.63468840 -086.08897016
111  39.63469621 -086.08895257
112  39.63469621 -086.08895257  39.63466886 -086.08901417
112  39.63459806 -086.08908941  39.63454601 -086.08914024
111  39.63446143 -086.08912751
111  39.63446178 -086.08918205
111  39.63440913 -086.08918370
111  39.63440916 -086.08903163
112  39.63440916 -086.08903163  39.63439455 -086.08903108
112  39.63423825 -086.08903154  39.63422306 -086.08903237
111  39.63423825 -086.08903154
112  39.63423825 -086.08903154  39.63423427 -086.08903982
111  39.63423589 -086.08950923
111  39.63419244 -086.08951253
111  39.63419301 -086.08945824
112  39.63418175 -086.08943027  39.63416811 -086.08941613
111  39.63413555 -086.08942124
111  39.63413596 -086.08938697
112  39.63419338 -086.08936201  39.63419446 -086.08933473
112  39.63419534 -086.08925058  39.63419386 -086.08921321
111  39.63414848 -086.08922037
111  39.63414842 -086.08918501
112  39.63419383 -086.08916627  39.63419346 -086.08914896
112  39.63419500 -086.08904431  39.63419489 -086.08901700
111  39.63414530 -086.08902086
111  39.63414620 -086.08897309
112  39.63419525 -086.08895008  39.63419593 -086.08892325
112  39.63419714 -086.08884437  39.63419676 -086.08881064
111  39.63414430 -086.08881727
111  39.63414320 -086.08887370
111  39.63406216 -086.08887513
111  39.63406202 -086.08891907
112  39.63401554 -086.08895036  39.63401429 -086.08898141
112  39.63401432 -086.08903297  39.63401449 -086.08907457
111  39.63406106 -086.08907167
111  39.63406060 -086.08912091
112  39.63401536 -086.08915577  39.63401483 -086.08919187
112  39.63401452 -086.08923643  39.63401444 -086.08927116
111  39.63405982 -086.08927714
111  39.63405896 -086.08932739
112  39.63401631 -086.08935102  39.63401158 -086.08936962
112  39.63402215 -086.08946778  39.63403860 -086.08948612
111  39.63405706 -086.08948308
111  39.63405821 -086.08952857
112  39.63402360 -086.08954352  39.63401434 -086.08955740
111  39.63401170 -086.08956504
111  39.63401201 -086.08980510
111  39.63395596 -086.08980381
112  39.63394339 -086.08976032  39.63393340 -086.08974856
111  39.63390908 -086.08974819
111  39.63390710 -086.08990811
111  39.63381492 -086.08990934
111  39.63381481 -086.08985776
112  39.63375244 -086.08987201  39.63374350 -086.08989318
111  39.63374654 -086.08990775
111  39.63368975 -086.08990833
112  39.63368406 -086.08987659  39.63367677 -086.08986712
111  39.63361506 -086.08987647
111  39.63361562 -086.08992657
111  39.63351216 -086.08992636
111  39.63351065 -086.08976515
112  39.63345138 -086.08978449  39.63343872 -086.08980559
111  39.63344264 -086.08983529
111  39.63338567 -086.08983709
112  39.63337890 -086.08978061  39.63336862 -086.08976353
111  39.63331642 -086.08976958
111  39.63331652 -086.08992383
111  39.63321418 -086.08992621
111  39.63321448 -086.08986922
112  39.63315696 -086.08987832  39.63314514 -086.08989335
111  39.63314542 -086.08992577
111  39.63309125 -086.08992748
111  39.63309102 -086.08982170
111  39.63301951 -086.08982361
111  39.63301505 -086.09012046
111  39.63289567 -086.09012181
111  39.63280149 -086.09010126
111  39.63277608 -086.08995667
